,Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,Currency
3454,BMC Pregnancy and Childbirth,,1471-2393,1570.0,GBP - Pound Sterling
3455,BMC Cancer,,1471-2407,1370.0,GBP - Pound Sterling
3456,BMC Ophthalmology,,1471-2415,1370.0,GBP - Pound Sterling
3457,BMC Pediatrics,,1471-2431,1370.0,GBP - Pound Sterling
3458,BMC Psychiatry,,1471-244X,1370.0,GBP - Pound Sterling
3459,BMC Public Health,,1471-2458,1370.0,GBP - Pound Sterling
3460,BMC Pulmonary Medicine,,1471-2466,1370.0,GBP - Pound Sterling
3461,BMC Musculoskeletal Disorders,,1471-2474,1370.0,GBP - Pound Sterling
3462,BMC Surgery,,1471-2482,1370.0,GBP - Pound Sterling
3463,BMC Urology,,1471-2490,1370.0,GBP - Pound Sterling
3464,BMC Dermatology,,1471-5945,1370.0,GBP - Pound Sterling
3465,Archaea ,1472-3646,1472-3654,1300.0,USD - US Dollar
3466,Diversity and Distributions,,1472-4642,2200.0,USD - US Dollar
3467,BMC Biotechnology,,1472-6750,1690.0,GBP - Pound Sterling
3468,BMC Ecology,,1472-6785,1570.0,GBP - Pound Sterling
3469,BMC Endocrine Disorders,,1472-6823,1570.0,GBP - Pound Sterling
3470,BMC Oral Health,,1472-6831,1370.0,GBP - Pound Sterling
3471,BMC Palliative Care,,1472-684X,1370.0,GBP - Pound Sterling
3472,BMC Women's Health,,1472-6874,1370.0,GBP - Pound Sterling
3473,BMC Complementary and Alternative Medicine,,1472-6882,1790.0,GBP - Pound Sterling
3474,BMC Medical Education,,1472-6920,1570.0,GBP - Pound Sterling
3475,BMC Medical Ethics,,1472-6939,1060.0,GBP - Pound Sterling
3476,BMC Medical Informatics and Decision Making,,1472-6947,1370.0,GBP - Pound Sterling
3477,BMC Nursing,,1472-6955,1370.0,GBP - Pound Sterling
3478,BMC Health Services Research,,1472-6963,1370.0,GBP - Pound Sterling
3479,BMC International Health and Human Rights,,1472-698X,1570.0,GBP - Pound Sterling
3480,European Cells & Materials,,1473-2262,1000.0,USD - US Dollar
3481,Journal of International Medical Research,,1473-2300,2600.0,GBP - Pound Sterling
3483,Evolutionary Psychology,,1474-7049,800.0,USD - US Dollar
3484,Genome Biology,,1474-760X,1900.0,GBP - Pound Sterling
3486,Aging Cell,1474-9718,1474-9726,2800.0,USD - US Dollar
3487,Cardiovascular Diabetology,,1475-2840,1540.0,GBP - Pound Sterling
3488,Microbial Cell Factories,,1475-2859,1370.0,GBP - Pound Sterling
3489,Cancer Cell International,,1475-2867,1470.0,GBP - Pound Sterling
3490,Malaria Journal,,1475-2875,1430.0,GBP - Pound Sterling
3491,Nutrition Journal,,1475-2891,1510.0,GBP - Pound Sterling
3492,Journal of Enzyme Inhibition and Medicinal Chemistry,1475-6366,1475-6374,1950.0,USD - US Dollar
3493,BioMedical Engineering OnLine,,1475-925X,1370.0,GBP - Pound Sterling
3494,International Journal for Equity in Health,,1475-9276,1420.0,GBP - Pound Sterling
3496,Environmental Health,,1476-069X,1420.0,GBP - Pound Sterling
3497,Annals of Clinical Microbiology and Antimicrobials,,1476-0711,1370.0,GBP - Pound Sterling
3498,International Journal of Health Geographics,,1476-072X,1370.0,GBP - Pound Sterling
3499,Molecular Cancer,,1476-4598,1470.0,GBP - Pound Sterling
3500,Lipids in Health and Disease,,1476-511X,1370.0,GBP - Pound Sterling
3501,Cardiovascular Ultrasound,,1476-7120,1370.0,GBP - Pound Sterling
3502,Clinical and Molecular Allergy,,1476-7961,1370.0,GBP - Pound Sterling
3503,Journal of Inflammation,,1476-9255,1470.0,GBP - Pound Sterling
3504,Primary Health Care Research and Development,,1477-1128,1870.0,GBP - Pound Sterling
3505,Journal of Nanobiotechnology,,1477-3155,1370.0,GBP - Pound Sterling
3507,Proteome Science,,1477-5956,1370.0,GBP - Pound Sterling
3510,Harm Reduction Journal,,1477-7517,1565.0,GBP - Pound Sterling
3511,Health and Quality of Life Outcomes,,1477-7525,1370.0,GBP - Pound Sterling
3512,World Journal of Surgical Oncology,,1477-7819,1650.0,GBP - Pound Sterling
3513,Reproductive Biology and Endocrinology,,1477-7827,1370.0,GBP - Pound Sterling
3514,Thrombosis Journal,,1477-9560,1370.0,GBP - Pound Sterling
3516,Human Resources for Health,,1478-4491,1565.0,GBP - Pound Sterling
3517,Health Research Policy and Systems,,1478-4505,1565.0,GBP - Pound Sterling
3518,Journal of Biology,1478-5854,1475-4924,1780.0,GBP - Pound Sterling
3519,Arthritis Research & Therapy,1478-6354,1478-6362,1750.0,GBP - Pound Sterling
3520,Cost Effectiveness and Resource Allocation,,1478-7547,1370.0,GBP - Pound Sterling
3521,Population Health Metrics,,1478-7954,1370.0,GBP - Pound Sterling
3522,Cell Communication and Signaling,,1478-811X,1370.0,GBP - Pound Sterling
3523,Electronic Journal of e-Government,,1479-439X,250.0,GBP - Pound Sterling
3524,Electronic Journal of e-Learning,1479-4403,,250.0,GBP - Pound Sterling
3525,Electronic Journal of Knowledge Management,1479-4411,,250.0,GBP - Pound Sterling
3526,International Journal of Behavioral Nutrition and Physical Activity,,1479-5868,1650.0,GBP - Pound Sterling
3527,Journal of Translational Medicine,,1479-5876,1370.0,GBP - Pound Sterling
3528,Human Genomics,,1479-7364,1565.0,GBP - Pound Sterling
3530,Chronic Respiratory Disease,1479-9723,1479-9731,2000.0,USD - US Dollar
3531,Biological Procedures Online,,1480-9222,1870.0,GBP - Pound Sterling
3561,Tidsskriftet FoU i Praksis,1504-6893,1890-6990,6000.0,NOK - Norwegian Krone
3581,International Islamic University Malaysia Engineering Journal,1511-788X,2289-7860,140.0,USD - US Dollar
3586,Bosnian Journal of Basic Medical Sciences,1512-8601,1840-4812,300.0,EUR - Euro
3588,Asian Pacific Journal of Cancer Prevention,1513-7368,2476-762X,200.0,USD - US Dollar
3591,Journal of Applied Economics,1514-0326,1667-6726,1000.0,USD - US Dollar
3616,Revista Brasileira de Plantas Medicinais ,1516-0572,1983-084X,300.0,BRL - Brazilian Real
3621,Revista CEFAC,1516-1846,1982-0216,200.0,USD - US Dollar
3626,Revista Brasileira de Zootecnia,1516-3598,1806-9290,1024.0,BRL - Brazilian Real
3628,Bioscience Journal,1516-3725,1981-3163,40.0,USD - US Dollar
3641,Brazilian Journal of Poultry Science,1516-635X,1806-9061,400.0,USD - US Dollar
3659,Rev Rene,1517-3852,2175-6783,800.0,BRL - Brazilian Real
3670,EconomiA,1517-7580,,150.0,USD - US Dollar
3675,Brazilian Journal of Microbiology,1517-8382,1678-4405,300.0,USD - US Dollar
3676,Revista Brasileira de Medicina do Esporte,1517-8692,1806-9940,800.0,BRL - Brazilian Real
3689,Revista Eletrônica de Enfermagem,,1518-1944,700.0,BRL - Brazilian Real
3693,Ciência Animal Brasileira,1518-2797,1809-6891,800.0,BRL - Brazilian Real
3715,Pesquisa Brasileira em Odontopediatria e Clínica Integrada,1519-0501,1983-4632,130.0,USD - US Dollar
3744,Brazilian Journal of Biology,1519-6984,1678-4375,680.0,USD - US Dollar
3754,Revista Brasileira de Saúde e Produção Animal,1519-9940,1519-9940,220.0,BRL - Brazilian Real
3758,Neoplasia: An International Journal for Oncology Research,1522-8002,1476-5586,2500.0,USD - US Dollar
3759,"Arctic, Antarctic, and Alpine Research",1523-0430,1938-4246,1950.0,USD - US Dollar
3762,Journal of Applied Clinical Medical Physics,,1526-9914,600.0,USD - US Dollar
3769,Atmospheric Science Letters,,1530-261X,1000.0,GBP - Pound Sterling
3770,Reviews in Cardiovascular Medicine,1530-6550,2153-8174,1250.0,USD - US Dollar
3771,Wireless Communications and Mobile Computing,1530-8669,1530-8677,2100.0,USD - US Dollar
3774,Breast,,1532-3080,2100.0,USD - US Dollar
3775,Technology in Cancer Research & Treatment,1533-0346,1533-0338,2200.0,USD - US Dollar
3778,Integrative Cancer Therapies,1534-7354,1552-695X,2000.0,USD - US Dollar
3779,Journal of Vision,,1534-7362,1850.0,USD - US Dollar
3780,Molecular Imaging,,1536-0121,2000.0,USD - US Dollar
3781,Journal of Insect Science,,1536-2442,1530.0,USD - US Dollar
3786,Journal of Statistical Theory and Applications (JSTA),1538-7887,2214-1766,100.0,EUR - Euro
3787,Vadose Zone Journal,,1539-1663,1750.0,USD - US Dollar
3800,PLoS Biology ,1544-9173,1545-7885,2900.0,USD - US Dollar
3803,Pediatric Rheumatology Online Journal,,1546-0096,1370.0,GBP - Pound Sterling
3805,"Concepts in Magnetic Resonance: Part A, Bridging Education and Research",1546-6086,1552-5023,1600.0,USD - US Dollar
3809,Journal of Immunotoxicology,1547-691X,1547-6901,1950.0,USD - US Dollar
3812,"Sustainability: Science, Practice, & Policy",,1548-7733,600.0,USD - US Dollar
3813,PLoS Medicine,1549-1277,1549-1676,2900.0,USD - US Dollar
3816,International Journal of Distributed Sensor Networks,1550-1329,1550-1477,2200.0,USD - US Dollar
3817,Journal of the International Society of Sports Nutrition,,1550-2783,1370.0,GBP - Pound Sterling
3819,Mathematical Biosciences and Engineering,,1551-0018,1600.0,USD - US Dollar
3823,Investigative Ophthalmology & Visual Science,,1552-5783,1850.0,USD - US Dollar
3825,Geosphere,,1553-040X,2750.0,USD - US Dollar
3829,PLoS Computational Biology,1553-734X,1553-7358,2250.0,USD - US Dollar
3830,PLoS Pathogens,1553-7366,1553-7374,2250.0,USD - US Dollar
3831,PLoS Genetics,1553-7390,1553-7404,2250.0,USD - US Dollar
3836,Physical Review Special Topics. Physics Education Research,,1554-9178,2000.0,USD - US Dollar
3838,Contrast Media & Molecular Imaging,1555-4309,1555-4317,1600.0,USD - US Dollar
3840,Progress in Physics,1555-5534,1555-5615,60.0,USD - US Dollar
3852,American Journal of Men's Health,1557-9883,1557-9891,2000.0,USD - US Dollar
3855,Journal of Engineered Fibers and Fabrics,,1558-9250,2000.0,USD - US Dollar
3857,Clinical Proteomics,,1559-0275,1370.0,GBP - Pound Sterling
3859,Dose-Response,,1559-3258,2000.0,USD - US Dollar
3861,E-Journal of Severe Storms Meteorology,,1559-5404,50.0,USD - US Dollar
3863,International Journal of Optomechatronics,1559-9612,1559-9620,1000.0,USD - US Dollar
3887,Natural Hazards and Earth System Sciences,1561-8633,1684-9981,1440.0,EUR - Euro
3890,Uqyānūs/shināsī,1562-1057,2476-6755,2000000.0,IRR - Iranian Rial
3894,Eurasian Chemico-Technological Journal ,1562-3920,2522-4867,100000.0,KZT - Tenge
3898,Chemical Bulletin of Kazakh National University,1563-0331,2312-7554,5000.0,KZT - Tenge
3903,Bioinorganic Chemistry and Applications,1565-3633,1687-479X,1300.0,USD - US Dollar
3905,Journal of Greek Linguistics ,1566-5844,1569-9846,495.0,EUR - Euro
3906,Electronic Journal of Information Systems Evaluation,,1566-6379,250.0,GBP - Pound Sterling
3908,International Journal of Integrated Care,,1568-4156,1250.0,GBP - Pound Sterling
3910,Cellular Oncology,1570-5870,1875-8606,1300.0,USD - US Dollar
3913,Mobile Information Systems ,1574-017X,1875-905X,1900.0,USD - US Dollar
3914,Molecular Oncology,1574-7891,1878-0261,3600.0,USD - US Dollar
3946,Revista International de Medicina y Ciencias de la Actividad Fisica y del Deporte,,1577-0354,300.0,EUR - Euro
3967,"Retos: Nuevas Tendencias en Educación Física, Deportes y Recreación",1579-1726,1988-2041,200.0,EUR - Euro
3977,Materiali in Tehnologije,1580-2949,1580-3414,300.0,EUR - Euro
3978,Image Analysis and Stereology,1580-3139,1854-5165,200.0,EUR - Euro
3981,Radiology and Oncology,,1581-3207,700.0,EUR - Euro
3987,Journal of Cellular and Molecular Medicine ,1582-1838,1582-4934,2500.0,USD - US Dollar
3993,Annals of the University of Petrosani: Economics,1582-5949,2247-8620,50.0,EUR - Euro
3994,Advances in Electrical and Computer Engineering,1582-7445,1844-7600,300.0,EUR - Euro
4000,Annals of the Oradea University: Fascicle Management and Technological Engineering,,1583-0691,25.0,EUR - Euro
4004,Buletin ştiinţific: Universitatea din Piteşti. Seria Ştiinţe Economice,1583-1809,2344-4908,30.0,EUR - Euro
4012,Annals of Dunarea de Jos University. Fascicle I : Economics and Applied Informatics,1584-0409,,30.0,EUR - Euro
4022,Archives of the Balkan Medical Union,1584-9244,2558-815X,110.0,EUR - Euro
4032,Ratio Mathematica,1592-7415,2282-8214,90.0,EUR - Euro
4040,Italian Journal of Animal Science,1594-4077,1828-051X,900.0,USD - US Dollar
4044,Tropical Journal of Pharmaceutical Research,1596-5996,1596-9827,500.0,USD - US Dollar
4045,Journal of Information Display,1598-0316,2158-1606,1200.0,USD - US Dollar
4048,Research in Plant Disease,1598-2262,2233-9191,1044.0,USD - US Dollar
4049,Genomics & Informatics,1598-866X,2234-0742,200.0,USD - US Dollar
4051,The Korean Journal of Gastroenterology,1598-9992,2233-6869,10000.0,KRW - Won
4052,Ecography,,1600-0587,2200.0,USD - US Dollar
4053,"Tellus: Series A, Dynamic Meteorology and Oceanography",,1600-0870,1350.0,USD - US Dollar
4054,"Tellus: Series B, Chemical and Physical Meteorology",,1600-0889,1440.0,USD - US Dollar
4055,Acta Crystallographica Section E,1600-5368,,250.0,USD - US Dollar
4057,Oral Health and Preventive Dentistry,1602-1622,1757-9996,1250.0,EUR - Euro
4060,Інтродукція Рослин,1605-6574,2663-290X,300.0,UAH - Hryvnia
4061,Reviews on Advanced Materials Science,,1605-8127,1200.0,EUR - Euro
4066,Вісник Астрономічної школи,1607-2855,2411-6602,600.0,UAH - Hryvnia
4070,Iraqi Journal of Veterinary Sciences,1607-3894,2071-1255,100.0,USD - US Dollar
4073,Kaohsiung Journal of Medical Sciences,1607-551X,2410-8650,400.0,USD - US Dollar
4075,"Anaesthesia, Pain & Intensive Care",1607-8322,2220-5799,190.0,USD - US Dollar
4076,Jilvah-i hunar,1607-9868,2538-256X,2000000.0,IRR - Iranian Rial
4082,Majallah-i ̒Ilmī-i Dānishgāh-i ̒Ulūm-i Pizishkī-i Simnān,1608-7046,,2000000.0,IRR - Iranian Rial
4090,Ibn Al-Haitham Journal for Pure and Applied Sciences,1609-4042,2521-3407,125000.0,IQD - Iraqi Dinar
4091,International Journal of Qualitative Methods,,1609-4069,1500.0,USD - US Dollar
4092,تنمیة الرافدین,1609-591X,2664-276X,100.0,USD - US Dollar
4093,Vestnik Tomskogo Gosudarstvennogo Pedagogičeskogo Universiteta,1609-624X,,8000.0,RUB - Russian Ruble
4096,Verbum et Ecclesia ,1609-9982,2074-7705,1111.0,ZAR - Rand
4097,Journal of Business Economics and Management,1611-1699,2029-4433,600.0,EUR - Euro
4105,Gynecological Surgery,,1613-2084,1370.0,GBP - Pound Sterling
4109,Journal of Applied Botany and Food Quality,1613-9216,1439-040X,300.0,EUR - Euro
4114,Fuzzy Information and Engineering,1616-8658,1616-8666,500.0,USD - US Dollar
4115,Applied Rheology,,1617-8106,1000.0,EUR - Euro
4116,Tobacco Induced Diseases,,1617-9625,1750.0,EUR - Euro
4117,Engineering in Life Sciences,1618-0240,1618-2863,2500.0,USD - US Dollar
4118,Conflict & Communication Online,1618-0747,,150.0,EUR - Euro
4119,e-Polymers,,1618-7229,1000.0,EUR - Euro
4121,NeoBiota,1619-0033,1314-2488,900.0,EUR - Euro
4137,Intercathedra,1640-3622,,100.0,EUR - Euro
4138,Annual of Navigation,1640-8632,1640-8632,150.0,EUR - Euro
4148,Menopause Review,1643-8876,2299-0038,100.0,EUR - Euro
4150,Ekonomiczne Problemy Turystyki,1644-0501,,590.0,PLN - Zloty
4151,Acta Scientiarum Polonorum. Architectura,1644-0633,2544-1760,600.0,PLN - Zloty
4152,Acta Scientiarum Polonorum Zootechnica,1644-0714,2300-6145,250.0,PLN - Zloty
4160,"Psicologia, Saúde & Doenças",1645-0086,2182-8407,75.0,EUR - Euro
4170,Motricidade ,1646-107X,2182-2972,150.0,EUR - Euro
4200,Business: Theory and Practice,1648-0627,1822-4202,300.0,EUR - Euro
4203,Transport,1648-4142,1648-3480,300.0,EUR - Euro
4206,Journal of Environmental Engineering and Landscape Management ,1648-6897,1822-4199,200.0,EUR - Euro
4207,International Journal of Strategic Property Management,1648-715X,1648-9179,480.0,EUR - Euro
4210,Journal of Rehabilitation Medicine,1650-1977,1651-2081,1600.0,EUR - Euro
4216,Food & Nutrition Research,1654-6628,1654-661X,1950.0,EUR - Euro
4218,Global Health Action,,1654-9880,1400.0,EUR - Euro
4280,Marine Drugs,1660-3397,,2000.0,CHF - Swiss Franc
4283,International Journal of Molecular Sciences,1661-6596,1422-0067,2000.0,CHF - Swiss Franc
4284,International Journal of Environmental Research and Public Health,1661-7827,1660-4601,2300.0,CHF - Swiss Franc
4286,Swiss Journal of Geosciences,1661-8726,1661-8734,1250.0,EUR - Euro
4287,Case Reports in Gastroenterology,,1662-0631,680.0,CHF - Swiss Franc
4288,Obesity Facts,1662-4025,1662-4033,1960.0,EUR - Euro
4289,Frontiers in Neuroscience,1662-4548,1662-453X,2950.0,USD - US Dollar
4290,Frontiers in Molecular Neuroscience,,1662-5099,2950.0,USD - US Dollar
4291,Frontiers in Cellular Neuroscience,,1662-5102,2950.0,USD - US Dollar
4292,Frontiers in Neural Circuits,,1662-5110,2950.0,USD - US Dollar
4293,Frontiers in Neuroanatomy,,1662-5129,2950.0,USD - US Dollar
4294,Frontiers in Systems Neuroscience,,1662-5137,2490.0,USD - US Dollar
4295,Frontiers in Integrative Neuroscience,,1662-5145,1900.0,USD - US Dollar
4296,Frontiers in Behavioral Neuroscience,,1662-5153,2950.0,USD - US Dollar
4297,Frontiers in Human Neuroscience,,1662-5161,2950.0,USD - US Dollar
4298,Frontiers in Computational Neuroscience,,1662-5188,2950.0,USD - US Dollar
4299,Frontiers in Neuroinformatics,,1662-5196,2490.0,USD - US Dollar
4300,Frontiers in Neurorobotics,,1662-5218,2950.0,USD - US Dollar
4302,Case Reports in Dermatology,,1662-6567,680.0,CHF - Swiss Franc
4303,Case Reports in Oncology,,1662-6575,680.0,CHF - Swiss Franc
4304,Case Reports in Neurology,,1662-680X,680.0,CHF - Swiss Franc
4305,Journal of Innate Immunity,1662-811X,1662-8128,1980.0,CHF - Swiss Franc
4306,Case Reports in Ophthalmology,,1663-2699,680.0,CHF - Swiss Franc
4307,Frontiers in Synaptic Neuroscience,,1663-3563,1900.0,USD - US Dollar
4308,Frontiers in Aging Neuroscience,,1663-4365,2950.0,USD - US Dollar
4310,Frontiers in Pharmacology,,1663-9812,2950.0,USD - US Dollar
4312,Frontiers in Physiology,,1664-042X,2950.0,USD - US Dollar
4313,Frontiers in Psychiatry,,1664-0640,1900.0,USD - US Dollar
4314,Frontiers in Psychology,,1664-1078,2950.0,USD - US Dollar
4315,Frontiers in Neurology,,1664-2295,2490.0,USD - US Dollar
4316,Swiss Journal of Palaeontology,1664-2376,1664-2384,1000.0,EUR - Euro
4317,Frontiers in Endocrinology,,1664-2392,2490.0,USD - US Dollar
4318,Frontiers in Microbiology,,1664-302X,2950.0,USD - US Dollar
4319,Frontiers in Immunology,,1664-3224,2950.0,USD - US Dollar
4321,Frontiers in Plant Science,,1664-462X,2950.0,USD - US Dollar
4322,Cerebrovascular Diseases Extra,,1664-5456,800.0,CHF - Swiss Franc
4323,Dementia and Geriatric Cognitive Disorders Extra,,1664-5464,1800.0,CHF - Swiss Franc
4324,Nephron Extra,,1664-5529,1800.0,CHF - Swiss Franc
4326,Frontiers in Genetics,,1664-8021,2490.0,USD - US Dollar
4378,"Genomics, Proteomics & Bioinformatics",1672-0229,,2200.0,USD - US Dollar
4381,Guoji Yanke Zazhi,1672-5123,,300.0,USD - US Dollar
4384,China Foundry,1672-6421,,3600.0,CNY - Yuan Renminbi
4385,Chinese Journal of Contemporary Neurology and Neurosurgery,1672-6731,,600.0,USD - US Dollar
4386,Zhongguo Jianchuan Yanjiu,1673-3185,,1200.0,CNY - Yuan Renminbi
4387,Neural Regeneration Research,1673-5374,1876-7958,1500.0,USD - US Dollar
4390,Journal of Molecular Cell Biology,1674-2788,1759-4685,1500.0,GBP - Pound Sterling
4391,International Journal of Oral Science,1674-2818,2049-3169,2650.0,GBP - Pound Sterling
4392,Atmospheric and Oceanic Science Letters,1674-2834,2376-6123,700.0,USD - US Dollar
4393,Current Zoology,1674-5507,2396-9814,900.0,GBP - Pound Sterling
4394,Qiguan Yizhi,1674-7445,,840.0,CNY - Yuan Renminbi
4397,Journal of Electronic Science and Technology,1674-862X,,1400.0,CNY - Yuan Renminbi
4399,Advances in Climate Change Research,1674-9278,,800.0,USD - US Dollar
4400,Journal of Animal Science and Biotechnology,1674-9782,2049-1891,550.0,GBP - Pound Sterling
4403,Malaysian Journal of Public Health Medicine,1675-0306,,300.0,USD - US Dollar
4405,GEMA Online® Journal of Language Studies,1675-8021,2550-2131,300.0,USD - US Dollar
4408,Biota Neotropica,,1676-0611,400.0,USD - US Dollar
4424,Semina: Ciências Agrárias,1676-546X,1679-0359,300.0,BRL - Brazilian Real
4428,Avaliação Psicológica,1677-0471,2175-3431,500.0,BRL - Brazilian Real
4474,Journal of Venomous Animals and Toxins including Tropical Diseases,,1678-9199,500.0,USD - US Dollar
4492,Latin American Journal of Solids and Structures,1679-7817,1679-7825,1000.0,EUR - Euro
4502,"Majallah-i Zanān, Māmā̓ī va Nāzā̓ī-i Īrān",1680-2993,2008-2363,1000000.0,IRR - Iranian Rial
4504,Atmospheric Chemistry and Physics,1680-7316,1680-7324,1600.0,EUR - Euro
4505,Advances in Geosciences,1680-7340,1680-7359,280.0,EUR - Euro
4508,Aerosol and Air Quality Research,1680-8584,2071-1409,300.0,USD - US Dollar
4509,مجلة كلية التربية للبنات,1680-8738,2663-547X,100000.0,IQD - Iraqi Dinar
4513,Vіsnik Naukovih Doslіdžen',1681-276X,2415-8798,1500.0,UAH - Hryvnia
4515,African Invertebrates,1681-5556,2305-2562,375.0,EUR - Euro
4518,The Iraqi Journal of Medical Sciences,1681-6579,2224-4719,100000.0,IQD - Iraqi Dinar
4519,Системи обробки інформації,1681-7710,2518-1696,750.0,UAH - Hryvnia
4521,Pakistan Journal of Medical Sciences,1682-024X,1681-715X,400.0,USD - US Dollar
4531,Data Science Journal,,1683-1470,350.0,GBP - Pound Sterling
4533,Економіка розвитку,1683-1942,2304-6155,55.0,EUR - Euro
4534,Journal of Rawalpindi Medical College,1683-3562,1683-3570,35.0,USD - US Dollar
4535,Basrah Journal of Surgery,1683-3589,2409-501X,75000.0,IQD - Iraqi Dinar
4536,Iraqi Journal of Pharmaceutical Sciences,1683-3597,2521-3512,100.0,USD - US Dollar
4538,South African Journal of Human Resource Management,1683-7584,2071-078X,1062.0,ZAR - Rand
4541,"Journal of Microbiology, Immunology and Infection",1684-1182,,1000.0,USD - US Dollar
4543,Health Sciences and Diseases,1684-2782,2309-6535,100000.0,XAF - CFA Franc BEAC
4547,Lexikos,1684-4904,2224-0039,1200.0,ZAR - Rand
4548,"African Journal of Food, Agriculture, Nutrition and Development",1684-5358,1684-5374,500.0,USD - US Dollar
4551,Advances in Radio Science ,1684-9965,1684-9973,210.0,EUR - Euro
4555,Warasan Witthayasat Lae Theknoloyi Mahawitthayalai Mahasarakham,1686-9664,,4000.0,THB - Baht
4556,EURASIP Journal on Wireless Communications and Networking,1687-1472,1687-1499,940.0,GBP - Pound Sterling
4558,Fixed Point Theory and Applications,1687-1820,1687-1812,730.0,GBP - Pound Sterling
4559,Advances in Difference Equations,1687-1839,1687-1847,730.0,GBP - Pound Sterling
4561,Boundary Value Problems,1687-2762,1687-2770,630.0,GBP - Pound Sterling
4562,HBRC Journal,1687-4048,2090-9934,1250.0,EGP - Egyptian Pound
4563,Differential Equations and Nonlinear Mechanics,1687-4099,1687-4102,975.0,USD - US Dollar
4564,Journal of Nanomaterials,1687-4110,1687-4129,1900.0,USD - US Dollar
4566,International Journal of Biomedical Imaging,1687-4188,1687-4196,1025.0,USD - US Dollar
4567,Egyptian Journal of Aquatic Research,1687-4285,,300.0,USD - US Dollar
4568,"EURASIP Journal on Audio, Speech, and Music Processing",,1687-4722,865.0,GBP - Pound Sterling
4569,PPAR Research,1687-4757,1687-4765,1300.0,USD - US Dollar
4570,EURASIP Journal on Image and Video Processing,1687-5176,1687-5281,940.0,GBP - Pound Sterling
4571,Journal of Control Science and Engineering,1687-5249,1687-5257,1300.0,USD - US Dollar
4572,Computational Intelligence and Neuroscience,1687-5265,1687-5273,1900.0,USD - US Dollar
4573,Modelling and Simulation in Engineering,1687-5591,1687-5605,1025.0,USD - US Dollar
4574,Advances in OptoElectronics,1687-563X,1687-5648,1025.0,USD - US Dollar
4575,Advances in Multimedia,1687-5680,1687-5699,1025.0,USD - US Dollar
4576,International Journal of Antennas and Propagation,1687-5869,1687-5877,1900.0,USD - US Dollar
4577,Advances in Human-Computer Interaction,1687-5893,1687-5907,1025.0,USD - US Dollar
4578,Advances in Tribology,1687-5915,1687-5923,1025.0,USD - US Dollar
4579,International Journal of Aerospace Engineering,1687-5966,1687-5974,1900.0,USD - US Dollar
4580,Science and Technology of Nuclear Installations,1687-6075,1687-6083,1300.0,USD - US Dollar
4581,Dermatology Research and Practice,1687-6105,1687-6113,1025.0,USD - US Dollar
4582,Gastroenterology Research and Practice,1687-6121,1687-630X,1900.0,USD - US Dollar
4583,EURASIP Journal on Advances in Signal Processing,1687-6172,1687-6180,940.0,GBP - Pound Sterling
4584,Advances in Acoustics and Vibration,1687-6261,1687-627X,1025.0,USD - US Dollar
4585,Advances in Pharmacological Sciences,1687-6334,1687-6342,950.0,USD - US Dollar
4586,Advances in Urology,1687-6369,1687-6377,1025.0,USD - US Dollar
4587,International Journal of Telemedicine and Applications,1687-6415,1687-6423,1025.0,USD - US Dollar
4588,Anesthesiology Research and Practice,1687-6962,1687-6970,1025.0,USD - US Dollar
4589,International Journal of Computer Games Technology,1687-7047,1687-7055,1025.0,USD - US Dollar
4590,Current Gerontology and Geriatrics Research,1687-7063,1687-7071,775.0,USD - US Dollar
4591,Interdisciplinary Perspectives on Infectious Diseases,1687-708X,1687-7098,775.0,USD - US Dollar
4592,Advances in Fuzzy Systems,1687-7101,1687-711X,1025.0,USD - US Dollar
4593,International Journal of Reconfigurable Computing,1687-7195,1687-7209,1025.0,USD - US Dollar
4594,Journal of Sensors,1687-725X,1687-7268,1900.0,USD - US Dollar
4595,Advances in High Energy Physics,1687-7357,1687-7365,1300.0,USD - US Dollar
4596,"Journal of Computer Systems, Networks, and Communications",1687-7381,1687-739X,1025.0,USD - US Dollar
4597,International Journal of Digital Multimedia Broadcasting,1687-7578,1687-7586,1025.0,USD - US Dollar
4598,Applied and Environmental Soil Science,1687-7667,1687-7675,775.0,USD - US Dollar
4599,Advances in Astronomy,1687-7969,1687-7977,1025.0,USD - US Dollar
4600,Advances in Bioinformatics,1687-8027,1687-8035,775.0,USD - US Dollar
4601,International Journal of Chemical Engineering ,1687-806X,1687-8078,1025.0,USD - US Dollar
4602,Advances in Civil Engineering,1687-8086,1687-8094,2020.0,USD - US Dollar
4603,Advances in Condensed Matter Physics,1687-8108,1687-8124,1300.0,USD - US Dollar
4604,Advances in Mechanical Engineering,1687-8132,1687-8140,2100.0,USD - US Dollar
4605,International Journal of Agronomy,1687-8159,1687-8167,1025.0,USD - US Dollar
4606,Journal of Toxicology,1687-8191,1687-8205,1025.0,USD - US Dollar
4607,International Journal of Endocrinology,1687-8337,1687-8345,1900.0,USD - US Dollar
4609,Advances in Materials Science and Engineering,1687-8434,1687-8442,2200.0,USD - US Dollar
4610,Journal of Oncology,1687-8450,1687-8469,1300.0,USD - US Dollar
4611,International Journal of Zoology,1687-8477,1687-8485,775.0,USD - US Dollar
4612,Journal of Radiation Research and Applied Sciences,1687-8507,2314-7164,400.0,USD - US Dollar
4613,Journal of Cancer Epidemiology,1687-8558,1687-8566,1025.0,USD - US Dollar
