journal_full_title,2015,2016,2017,2018,2019,2020,issn,issn_print,issn_electronic,issn_l
Biomedical Optics Express,1236.6376923076925,1852.49375,1934.8966666666668,2115.1872,1776.9199999999996,,2156-7085,2156-7085,2156-7085,2156-7085
Sensors & Transducers,1047.2,,,,,,2306-8515,,,1726-5479
Journal of Advances in Modeling Earth Systems,1729.7333333333333,1600.8000000000004,1510.525714285714,1350.345,1594.4981818181818,,1942-2466,,,1942-2466
Journal of Nanomaterials,991.49,1490.25,1542.8339999999998,1844.773333333333,1674.84,,1687-4110,1687-4110,1687-4129,1687-4110
Advances in Radio Science,200.8125,195.91727272727275,240.1013333333333,252.07,229.27666666666667,,1684-9973,,1684-9973,1684-9965
Medicine,1399.4014285714286,1565.4195238095235,1572.3225000000002,1563.6613333333335,1735.295,,0025-7974,0025-7974,,0025-7974
Interactive Journal of Medical Research,1932.0,1519.5749999999996,1588.39,1683.1,2004.75,,1929-073X,,1929-073X,1929-073X
Tobacco Induced Diseases,1184.0,1513.2,2015.0,2015.0,1999.2,,1617-9625,,1617-9625,1617-9625
Brazilian Journal of Science and Technology,,565.25,,,,,2196-288X,,2196-288X,2196-288X
Photoacoustics,,1610.0,1610.39,1519.1166666666668,1592.38,,2213-5979,2213-5979,,2213-5979
Engineering Management Research,272.75,,,,,,1927-7326,1927-7318,1927-7326,1927-7318
Biology of Sport,150.0,,,,,,0860-021X,0860-021X,2083-1862,0860-021X
International Journal of Engineering Sciences & Research Technology,83.975,,,,,,2277-9655,,2277-9655,2277-9655
Energy Procedia,2084.7931034482763,,,,,,1876-6102,1876-6102,,1876-6102
CEUR Workshop Proceedings,350.0,,,,,,1613-0073,,1613-0073,1613-0073
Metals,674.6949999999998,1062.67,898.8614285714285,916.605,1123.4981818181816,,2075-4701,,2075-4701,2075-4701
PLOS Medicine,2548.959,2683.134,2938.4690697674428,2818.4725,2782.062727272727,1929.79,1549-1676,,1549-1676,1549-1277
Foods,297.0,267.66,436.67625,409.7371428571429,752.7529999999998,,2304-8158,,2304-8158,2304-8158
Animals,483.94,476.465,650.0,743.4511111111111,910.4110256410257,1087.3833333333334,2076-2615,,2076-2615,2076-2615
Organic Farming,150.0,,,,,,2297-6485,,2297-6485,2297-6485
mBio,2320.3472222222213,2635.887058823529,2500.8876,2541.605333333333,2670.7183333333332,,2150-7511,,2150-7511,2150-7511
Journal of the American Heart Association,1555.565,1389.9118750000002,1542.6229999999998,1560.7018181818182,1813.8569230769228,,2047-9980,2047-9980,2047-9980,2047-9980
Journal of Neurology & Neurophysiology,,,579.53,,,,2155-9562,,2155-9562,2155-9562
Biology Open,1387.871875,1448.249375,1465.8384,1439.3475,1416.8242857142857,,2046-6390,,2046-6390,2046-6390
The Scientific World Journal,707.2633333333333,942.86,,,,,2356-6140,2356-6140,1537-744X,1537-744X
BMC Endocrine Disorders,1306.99,1693.2666666666669,1679.72,1636.09,1797.09,,1472-6823,1472-6823,1472-6823,1472-6823
Clinical Ophthalmology,1632.68,1822.34,1987.3,2015.0,1882.58,,1177-5483,,1177-5483,1177-5467
Neoplasia,1998.49,2809.5575,2644.94,3402.03,2588.1125,,1476-5586,1476-5586,,1476-5586
Genome Medicine,2297.94,2154.396666666667,2185.76,2145.685,2676.965,,1756-994X,1756-994X,,1756-994X
Journal of Radiation Research,1480.6766666666665,1487.5,1250.0,1187.5,1487.5,,0449-3060,0449-3060,1349-9157,0449-3060
Stem Cells International,1146.105,1689.288181818182,1982.0344444444445,1908.131666666667,1942.3566666666666,,1687-966X,1687-966X,1687-9678,1687-966X
Cancer Cell International,1785.0,1785.0,2015.0,1785.0,1862.42,,1475-2867,,1475-2867,1475-2867
Medical Science Monitor Basic Research,599.31,2015.0,688.5,,,,2325-4416,,2325-4416,2325-4394
ESC Heart Failure,1707.16125,1832.6,1951.6,1836.3627272727274,2118.7909090909093,,2055-5822,,,2055-5822
IJC Heart & Vasculature,1570.8,2621.9625,2015.0,2955.8266666666664,1982.47,,2352-9067,2352-9067,,2352-9067
Case Reports in Transplantation,275.73,,,,,,2090-6943,2090-6943,2090-6951,2090-6951
Dementia and Geriatric Cognitive Disorders Extra,1297.71,1568.08,934.53,1671.5,1327.4250000000004,,1664-5464,,1664-5464,1664-5464
Molecular Medicine,1663.8,1941.1,,,,,1076-1551,1076-1551,1528-3658,1076-1551
Journal of Public Health Research,476.0,2015.0,2015.0,2015.0,532.495,,2279-9036,2279-9028,2279-9036,2279-9028
Bhabnagar International Journal of Bengali Studies,595.0,,,,,,2313-6065,,,2313-6065
Research & reviews: Journal of botanical sciences,617.61,,,,,,2320-0189,,,2320-0189
Street Art & Urban Creativity,59.5,,,,,,2183-3869,,,2183-3869
npj Quantum Information,2000.0,3300.0,3044.044000000001,2957.948571428572,1830.025,,2056-6387,,2056-6387,2056-6387
Frontiers in Bioengineering and Biotechnology,1128.73,1379.1525,1693.2542857142855,1569.873125,1771.0057692307694,,2296-4185,,2296-4185,2296-4185
Frontiers in Ecology and Evolution,1053.495,1511.3781818181815,1518.433125,1522.602105263158,1664.2568,1127.83,2296-701X,,2296-701X,2296-701X
Pastoralism,1134.66,1105.0,1171.038,2015.0,1503.9250000000004,,2041-7136,,2041-7136,2041-7136
International Journal for Parasitology: Drugs and Drug Resistance,1559.705,1929.053333333333,1724.7233333333334,1884.598888888889,1639.815,,2211-3207,2211-3207,,2211-3207
Scientifica,895.15,643.08,,,,,2090-908X,,2090-908X,2090-908X
Energy and Power Engineering,435.46,2015.0,2015.0,2015.0,729.38,,1949-243X,1949-243X,1947-3818,1947-3818
Politics and Governance,543.78,673.7475,989.29,933.48,961.455714285714,,2183-2463,,2183-2463,2183-2463
Journal of Veterinary Science,1072.55,2015.0,851.08,1496.89,100.0,,1229-845X,1229-845X,1976-555X,1229-845X
Molecular Systems Biology,2960.042857142857,2455.903333333333,3149.114,3241.33875,2856.6675,,1744-4292,,1744-4292,1744-4292
Annals of Clinical and Translational Neurology,1820.75625,1603.444,1872.747,1991.7820000000006,2238.490909090909,,2328-9503,,,2328-9503
World Journal of Cardiology,805.51,,,,,,1949-8462,1949-8462,,1949-8462
Theranostics,1169.27,1433.4275,1878.02,1799.9160000000006,2039.7044444444439,,1838-7640,,,1838-7640
Open Journal of Medical Psychology,631.19,377.41,,,,,2165-9370,2165-9370,2165-9389,2165-9370
Journal of Case Reports and Studies,791.91,,,,,,2348-9820,,2348-9820,2348-9820
Journal of Pediatrics & Neonatal Care,1086.68,,,,,,2373-4426,,2373-4426,2373-4426
Radiology Research and Practice,845.32,,,,,,2090-1941,2090-1941,2090-195X,2090-195X
Geospatial Health,278.175,547.5,2015.0,2015.0,750.0,,1970-7096,1827-1987,1970-7096,1827-1987
Case Reports in Oncology,779.13,2015.0,2015.0,866.41,903.23,,1662-6575,,1662-6575,1662-6575
Structural Dynamics,1657.98,1984.3,1780.0,1936.62,1776.0057142857145,,2329-7778,,2329-7778,2329-7778
Journal of Clinical and Diagnostic Research,171.0,,,,,,2249-782X,2249-782X,,0973-709X
Case Reports in Orthopedics,324.06,419.5,405.73,2015.0,630.425,,2090-6749,2090-6749,2090-6757,2090-6757
Cerebrovascular Diseases Extra,1418.746666666667,,,,,,1664-5456,,1664-5456,1664-5456
Frontiers in Chemistry,1176.0925,1684.2025,1563.2144444444446,1583.7803846153852,1698.186538461538,2027.47,2296-2646,,2296-2646,2296-2646
Frontiers in Molecular Biosciences,1204.8144444444445,1662.4450000000004,1616.2810000000004,1330.3228571428572,1622.145,,2296-889X,,2296-889X,2296-889X
Frontiers in Robotics and AI,1079.3133333333333,1534.314,927.9436363636363,979.8386956521738,922.5642857142856,,2296-9144,,2296-9144,2296-9144
Frontiers in Medicine,1192.1950000000004,1775.37,1470.7133333333334,1456.4216666666669,1599.3516666666665,,2296-858X,,2296-858X,2296-858X
Annals of Medicine and Surgery,642.6724999999999,509.33799999999985,902.9083333333333,931.785,430.0,,2049-0801,2049-0801,,2049-0801
Biochemistry and Biophysics Reports,488.665,2015.0,673.0,1689.46,,,2405-5808,2405-5808,,2405-5808
Computer Aided Surgery,496.23,,,,,,1092-9088,1092-9088,1097-0150,1092-9088
FEBS Open Bio,1418.4525,1148.8428571428572,1149.6349999999998,1307.755,1309.066,,2211-5463,,,2211-5463
Genomics and Computational Biology,480.0,2015.0,2015.0,400.0,,,2365-7154,,2365-7154,2365-7154
JMIR Research Protocols,1936.19,1920.53,1837.4738461538461,1619.7879999999998,1814.4713333333334,,1929-0748,,1929-0748,1929-0748
Molecular Genetics and Metabolism Reports,1264.0533333333333,1422.793333333333,1601.25,2015.0,1796.9,,2214-4269,2214-4269,,2214-4269
Neuropsychiatric Electrophysiology,1661.24,,,,,,2055-4788,,2055-4788,2055-4788
Scandinavian Journal of Primary Health Care,729.185,536.6128571428571,1200.0,1500.0,1148.49,,0281-3432,0281-3432,1502-7724,0281-3432
Clinical Interventions in Aging,1885.753333333333,1868.76,1982.1030000000005,1943.601428571428,1974.805,,1178-1998,,1178-1998,1176-9092
Thyroid Research,1504.16,,,,,,1756-6614,,1756-6614,1756-6614
Canine Genetics and Epidemiology,1594.6,1642.61,,,,,2052-6687,,2052-6687,2052-6687
International Journal of English Linguistics,298.99,,,,,,1923-8703,1923-869X,1923-8703,1923-869X
Journal of Investigational Allergology and Clinical Immunology,100.0,,,,,,1018-9068,,1698-0808,1018-9068
International Journal of Clinical and Health Psychology,400.0,393.39,364.4633333333333,296.695,300.0,,1697-2600,1697-2600,,1697-2600
Frontiers in Surgery,1494.06,1419.8975,1235.71,1218.45,1932.7179999999998,,2296-875X,,2296-875X,2296-875X
Journal of the Ceramic Society of Japan,761.41,,,,,,1348-6535,1882-0743,1348-6535,1348-6535
Frontiers in Materials,1059.49,1530.9933333333333,1420.674,1608.525,1832.464,,2296-8016,,2296-8016,2296-8016
Solid Earth,1027.14,1146.1608333333334,1650.045,1701.7876923076922,2099.2105263157887,,1869-9529,,1869-9529,1869-9529
Ocean Science,967.872,998.4166666666665,1476.0,1570.335,1405.3930769230772,,1812-0792,,1812-0792,1812-0784
Journal of Hydrology: Regional Studies,904.5033333333334,2015.0,1640.5050000000006,1824.142,1550.0,,2214-5818,2214-5818,,2214-5818
Journal of Applied Geophysics,4401.58,2015.0,1625.455,1408.2,1562.67,,0926-9851,0926-9851,,0926-9851
BMC Medical Imaging,1592.4057142857143,1702.401111111111,1755.4725,1646.4240000000002,1746.24,,1471-2342,1471-2342,1471-2342,1471-2342
Frontiers in Psychological and Behavioral Science,423.79,,,,,,2309-0138,,,2309-012X
Developmental Cognitive Neuroscience,1326.1899999999996,1494.0725,1553.4718181818184,1614.023333333333,1815.69625,,1878-9293,1878-9293,,1878-9293
Case Reports in Hematology,344.86,,,,,,2090-6560,2090-6560,2090-6579,2090-6579
Pediatric Rheumatology,1681.575,1674.7575,1387.8457142857142,1661.24,2208.235,,1546-0096,,1546-0096,1546-0096
Cogent Psychology,1353.51,942.035,1131.8166666666666,773.0550000000002,1364.2975,,2331-1908,,2331-1908,2331-1908
International Journal of Chemical Engineering,500.0,1059.7,1338.0,,,,1687-806X,1687-806X,1687-8078,1687-806X
Cancers,713.16,2015.0,696.9914285714286,695.4035714285714,1257.0341379310346,2032.2,2072-6694,,2072-6694,2072-6694
Earth's Future,1314.0,1455.205,1420.721818181818,1241.5875,1319.6225,,2328-4277,,,2328-4277
Science and Technology of Advanced Materials,1486.2,1185.918,1194.9857142857145,1066.46,,,1468-6996,1468-6996,1878-5514,1468-6996
Frontiers in Energy Research,1839.95,1511.23,1621.63,1456.4946153846154,1777.41,,2296-598X,,2296-598X,2296-598X
Global Ecology and Conservation,566.67,1428.9433333333334,1313.295,1439.7879999999998,1557.5445454545452,1689.8,2351-9894,2351-9894,,2351-9894
Molecular Therapy - Nucleic Acids,2279.333333333333,2847.8175,2821.933,2619.617142857143,2025.37,,2162-2531,2162-2531,,2162-2531
Scientific Data,1033.69625,1276.9599999999996,1188.6536,1379.038148148148,1566.0405555555558,,2052-4463,,2052-4463,2052-4463
APL Photonics,,1382.7875,1353.3125,1741.8919999999996,1813.634,,2378-0967,,2378-0967,2378-0967
Database,,1239.5812500000004,1147.79,1397.594285714286,1290.712857142857,,1758-0463,,1758-0463,1758-0463
Open Biology,1700.2307692307693,1495.8148571428574,1488.1836842105265,1631.31,1702.7666666666667,,2046-2441,,2046-2441,2046-2441
IUCrData,,111.17125,120.26142857142858,135.58700000000002,164.32142857142858,,2414-3146,,2414-3146,2414-3146
Science Advances,2005.5321428571426,2590.159130434783,3279.945949367089,3669.404150943396,3695.551,4162.95,2375-2548,,2375-2548,2375-2548
BMJ Open Diabetes Research & Care,2581.34,2343.473333333333,1890.61,1649.68,2383.03,,2052-4897,,2052-4897,2052-4897
Biotechnology for Biofuels,1887.8025,1883.2093333333332,1810.068076923077,1975.2466666666667,1787.707142857143,,1754-6834,,1754-6834,1754-6834
Journal of Biological Research-Thessaloniki,1708.84,2067.63,2015.0,1832.6,,,2241-5793,,2241-5793,1790-045X
International Journal of Chronic Obstructive Pulmonary Disease,2051.59,1745.5983333333334,1810.0414285714285,1875.76875,2012.455,,1178-2005,,1178-2005,1176-9106
International Journal of Nanomedicine,1922.4930769230773,2255.095,1814.0318181818186,1869.03,2493.6,,1178-2013,,1178-2013,1176-9114
Aquaculture Environment Interactions,730.82,1285.8266666666666,1606.5,1790.63,,,1869-215X,1869-215X,1869-7534,1869-215X
Crystals,568.9,790.3166666666666,855.9672727272726,751.1838461538463,985.412,,2073-4352,,2073-4352,2073-4352
ZooKeys,355.1485714285714,754.89375,624.87,658.8411111111111,684.6283333333333,708.05,1313-2970,1313-2989,1313-2970,1313-2970
Information and Knowledge Management,,173.36,,,,,2224-896X,,,2224-5758
Cell & Bioscience,1406.915,1720.62,2015.0,1661.24,1661.24,,2045-3701,,2045-3701,2045-3701
Nonlinear Processes in Geophysics Discussions,598.24,496.13,624.75,,,,2198-5634,,2198-5634,2198-5634
Solid Earth Discussions,942.48,1350.0,1266.12,,,,1869-9537,,1869-9537,1869-9537
Computational Condensed Matter,400.11,,,,,,2352-2143,2352-2143,,2352-2143
Open Journal of Fluid Dynamics,518.46,,,,,,2165-3852,2165-3852,2165-3860,2165-3852
International Journal of Information and Education Technology,241.485,,,,,,2010-3689,2010-3689,,2010-3689
Advances in Physical Education,727.58,2015.0,2015.0,600.0,,,2164-0386,2164-0386,2164-0408,2164-0386
Clinical Microbiology: Open Access,1247.585,,,,,,2327-5073,,2327-5073,2327-5073
Journal of Osteoporosis,651.065,737.39,,,,,2090-8059,2090-8059,2042-0064,2042-0064
Journal of Space Weather and Space Climate,467.5825,700.0,816.04,879.2633333333333,1071.0,,2115-7251,,2115-7251,2115-7251
Journal of Sports Science and Medicine,1071.0,1451.47,2015.0,1595.0,1725.0,,1303-2968,,,1303-2968
Molecular Metabolism,1916.205,1921.27,2129.871818181818,2282.0946666666664,2320.2000000000007,,2212-8778,2212-8778,,2212-8778
Plants,296.05,281.18,277.28,2015.0,632.6344444444444,,2223-7747,,2223-7747,2223-7747
Plastic and Reconstructive Surgery - Global Open,1057.38,1598.1275,1803.1629999999998,2185.9825,1868.9475,2418.57,2169-7574,2169-7574,,2169-7574
Zeitschrift für Kristallographie - New Crystal Structures,547.5,595.0,597.6175000000002,595.0,595.0,,2197-4578,1433-7266,2197-4578,1433-7266
BMC Women's Health,1569.77875,1600.503333333333,1641.89,1609.7763636363636,1631.7324999999996,,1472-6874,,1472-6874,1472-6874
Clinical Sarcoma Research,1382.625,2015.0,1802.325,1661.24,,,2045-3329,,2045-3329,2045-3329
World Allergy Organization Journal,1856.45,1698.66,1785.0,1932.7842857142855,1999.2,,1939-4551,1939-4551,1939-4551,1939-4551
"EURASIP Journal on Audio, Speech, and Music Processing",714.0,2015.0,1190.0,,,,1687-4722,,1687-4722,1687-4714
Infectious Agents and Cancer,1733.08,,,,,,1750-9378,,1750-9378,1750-9378
Nuclear Physics B,174.99,221.66,1320.2,2015.0,1008.14,,0550-3213,0550-3213,,0550-3213
Physics Letters B,174.99,221.66,2015.0,1170.05,1008.14,,0370-2693,0370-2693,,0370-2693
The European Physical Journal C,1985.16,221.66,1320.2,1170.05,1008.14,,1434-6044,1434-6044,1434-6052,1434-6044
Journal of High Energy Physics,640.9399999999998,221.66,1320.2000000000005,1170.0499999999995,1008.14,,1029-8479,,1029-8479,1029-8479
Frontiers in Pediatrics,1208.365,578.44,1392.8780000000004,1753.5107142857141,1847.977619047619,,2296-2360,,2296-2360,2296-2360
Decision Analytics,999.6,,,,,,2193-8636,,2193-8636,2193-8636
Behavioural Neurology,1490.15,1355.14,1693.74,2015.0,1628.98,,0953-4180,0953-4180,1875-8584,0953-4180
Journal of Diabetes & Metabolism,,4071.6,2719.0,,,,2155-6156,,2155-6156,2155-6156
Translational Psychiatry,3569.312380952381,2813.989,3151.428125,3146.268055555556,3174.5133333333342,,2158-3188,,2158-3188,2158-3188
EURASIP Journal on Image and Video Processing,936.0,928.2,987.22,1015.67,,,1687-5281,1687-5281,1687-5281,1687-5176
Redox Biology,372.715,1258.115,1774.118,1925.3866666666665,2444.3740000000007,,2213-2317,2213-2317,,2213-2317
BioResearch Open Access,1006.325,1049.14,2015.0,2015.0,1168.435,,2164-7860,2164-7860,2164-7860,2164-7844
GCB Bioenergy,1798.08,1952.97125,1893.496666666667,1981.5516666666665,,,1757-1693,,,1757-1693
Entropy,1077.5,1229.902,1319.318,1237.5745,1200.9041666666667,,1099-4300,,1099-4300,1099-4300
Journal of Mass Communication and Journalism,651.37,,,,,,2165-7912,,2165-7912,2165-7912
Source Code for Biology and Medicine,1802.94,2015.0,2015.0,2015.0,1538.25,,1751-0473,1751-0473,,1751-0473
Natural Science,,1121.86,1245.79,,,,2150-4091,2150-4091,2150-4105,2150-4091
Cancer Science,1806.75,2015.0,2015.0,2015.0,1570.8,,1347-9032,,,1347-9032
Haematologica,1332.552,1521.5020000000002,1247.2013636363636,1572.2271428571426,1499.5,,0390-6078,0390-6078,1592-8721,0390-6078
Insects,446.915,2015.0,499.364,491.46,963.6933333333333,1179.18,2075-4450,,2075-4450,2075-4450
Stem Cell Reports,2870.6510000000007,3104.435,3378.416086956522,3208.408823529412,3323.8825,,2213-6711,2213-6711,,2213-6711
American Journal of Cancer Research,1228.125,1669.06,1598.0,1744.26,,,2156-6976,,,2156-6976
Abstract and Applied Analysis,524.6388461538461,717.52,902.5125,572.06,,,1085-3375,1085-3375,1687-0409,1085-3375
Geologica Carpathica,125.0,300.0,,,,,1336-8052,,1336-8052,1335-0552
Evolutionary Bioinformatics,985.785,1061.8033333333333,1416.03,591.41,,,1176-9343,1176-9343,1176-9343,1176-9343
International Journal for Equity in Health,1632.1414285714286,1648.8125,1763.525,1682.7575,2447.6,,1475-9276,,1475-9276,1475-9276
Journal of Nanobiotechnology,1589.9333333333332,1970.33,1706.2937499999996,1298.5375,1831.71,,1477-3155,,1477-3155,1477-3155
Studies in Mycology,1000.0,1210.0,1200.0,1223.3333333333333,,,0166-0616,0166-0616,,0166-0616
Advances in Geosciences,370.2000000000001,496.0,180.0,270.39545454545447,364.39545454545447,,1680-7359,,1680-7359,1680-7340
Electronic Communications in Probability,604.17,,,,,,1083-589X,,1083-589X,1083-589X
Biomolecules,339.5125000000001,332.6,597.9100000000002,433.63000000000005,962.3626666666668,1467.5966666666666,2218-273X,,2218-273X,2218-273X
Life,345.0,497.1,573.4133333333333,868.6299999999999,534.33,,2075-1729,,2075-1729,2075-1729
Religions,299.315,2015.0,345.01,2015.0,600.0533333333334,,2077-1444,,2077-1444,2077-1444
Computational Astrophysics and Cosmology,954.18,,,,,,2197-7909,,2197-7909,2197-7909
EJNMMI Physics,1199.25,1136.6333333333334,1403.785,1390.28,1480.0,,2197-7364,,2197-7364,2197-7364
International Journal of General Systems,1806.0,,,,,,0308-1079,0308-1079,1563-5104,0308-1079
Digest Journal of Nanomaterials and Biostructures,300.0,,,,,,1842-3582,,,1842-3582
International Journal of Composite Materials,423.99,,,,,,2166-4919,2166-4919,,2166-4919
Engineering,1015.22,2015.0,859.2544444444443,917.6666666666665,,,1947-3931,1947-3931,1947-394X,1947-394X
Open Journal of Forestry,424.44,,,,,,2163-0429,2163-0429,2163-0437,2163-0429
Physiological Research,,590.198,522.3557142857144,757.085,,,0862-8408,0862-8408,1802-9973,0862-8408
Vascular Cell,,,,,753.62,,2045-824X,2045-824X,,2045-824X
International Journal of Nephrology,,,,1047.9,,,2090-214X,2090-214X,2090-2158,2090-214X
International Journal of Endocrinology,,1632.09,1902.18,1866.7,,,1687-8337,1687-8337,1687-8345,1687-8337
Journal of Diabetes Research,1328.015,1331.682,1922.296,1799.875,1995.095,,2314-6745,2314-6745,2314-6753,2314-6745
Frontiers in Environmental Science,1593.0775,1646.886,1315.68875,1689.126818181818,1597.9017391304346,,2296-665X,,2296-665X,2296-665X
Neurology: Neuroimmunology & Neuroinflammation,1773.22,3142.125,2211.616,1847.283333333333,2659.4275,,2332-7812,,2332-7812,2332-7812
International journal of education and social science,247.9,,,,,,2410-5171,,,2410-5171
Critical Care Research and Practice,830.745,903.42,1068.4,,,,2090-1305,2090-1305,2090-1313,2090-1305
Open Medicine,1428.0,2015.0,2015.0,1815.0,1666.0,,2391-5463,,2391-5463,2391-5463
Journal of Medical Cases,303.28,,,,,,1923-4155,1923-4155,1923-4163,1923-4155
"The Internet Journal of Pain, Symptom Control and Palliative Care",286.99,,,,,,1528-8277,,,1528-8277
International Journal of Advanced Remote Sensing and GIS,344.42,,,,,,2320-0243,,2320-0243,2320-0243
Fossil Record,589.05,,,,,,2193-0074,,2193-0074,2193-0066
Journal of Obesity & Weight Loss Therapy,1992.46,,,,,,2165-7904,,2165-7904,2165-7904
Jacobs Journal of Hematology,561.25,,,,,,2380-1646,,,2380-1646
ScienceOpen Material Science,780.26,,,,,,2197-3644,,2197-3644,2197-3644
Bone Reports,1381.64,1272.08,886.15,1332.2,1439.875,,2352-1872,2352-1872,,2352-1872
Open Heart,2411.0091666666667,2167.6487500000007,1878.0411111111111,1863.6342857142856,1943.914,,2053-3624,,2053-3624,2053-3624
Annals of Clinical Microbiology and Antimicrobials,1661.24,,,,,,1476-0711,,1476-0711,1476-0711
Animal Biotelemetry,2015.6433333333332,1986.583333333333,1505.22,,,,2050-3385,,2050-3385,2050-3385
Fibrogenesis & Tissue Repair,1999.243333333333,450.0,,,,,1755-1536,,1755-1536,1755-1536
Biological Procedures Online,1899.24,1909.56,1849.41,2015.0,2345.0,,1480-9222,1480-9222,1480-9222,1480-9222
Journal of Nutrition and Health Sciences,769.64,97.45,,,,,2393-9060,,2393-9060,2393-9060
International Journal of Economics and Finance,283.44,,,,,,1916-9728,1916-971X,1916-9728,1916-971X
Journal of Nutritional Health & Food Science,860.98,,,,,,2372-0980,,2372-0980,2372-0980
Journal of Applied Botany and Food Quality,100.0,150.0,,,,,1439-040X,,1439-040X,1613-9216
Journal of Feline Medicine and Surgery Open Reports,724.78,,,,,,2055-1169,2055-1169,2055-1169,2055-1169
Journal of Veterinary Medicine,,878.34,,,,,2356-7708,2356-7708,2314-6966,2314-6966
Micromachines,961.945,866.49,958.762,909.285,1044.555,,2072-666X,,2072-666X,2072-666X
Journal of Membrane Science & Technology,1131.0,,,,,,2155-9589,,2155-9589,2155-9589
Mathematical Problems in Engineering,563.3703571428572,2012.47,1635.5525,,,,1024-123X,1024-123X,1563-5147,1024-123X
Systems Science & Control Engineering,,167.5,,,,,2164-2583,,2164-2583,2164-2583
Games,,,505.245,2017.0,473.88,,2073-4336,,2073-4336,2073-4336
Journal of Insect Science,789.0,935.4725,870.0,952.65,,,1536-2442,,1536-2442,1536-2442
Jacobs Journal of Gerontology,217.09,,,,,,2381-7313,,,2381-7313
BMC Nutrition,1676.61,1700.8,1721.65,1757.265,1522.706666666667,,2055-0928,2055-0928,2055-0928,2055-0928
Journal of Pharmaceutical Policy and Practice,1615.43,1851.04,2015.0,1634.8,1870.0,,2052-3211,,2052-3211,2052-3211
Health Research Policy and Systems,1483.003333333333,1913.2628571428568,1790.293333333333,1838.439,1800.19,,1478-4505,1478-4505,1478-4505,1478-4505
Applied Mathematical Sciences,,,570.21,,,,1314-7552,1312-885X,1314-7552,1312-885X
Nutrition Journal,1631.875,1867.9,1729.7675,2020.5033333333329,1708.023333333333,,1475-2891,1475-2891,1475-2891,1475-2891
Case Reports in Oncological Medicine,,462.02,2016.0,505.57,,,2090-6706,2090-6706,2090-6714,2090-6706
BioMedical Engineering OnLine,1584.8392307692307,1580.2257142857145,1396.0,1635.114,1507.806,,1475-925X,1475-925X,,1475-925X
International Journal of Biomedical Imaging,,897.18,975.7166666666666,1039.16,1107.53,,1687-4188,1687-4188,1687-4196,1687-4188
Advances in Mechanical Engineering,1686.83,1928.858,1873.3120000000006,1999.965,1981.345,,1687-8132,1687-8132,1687-8140,1687-8132
Open Journal of Radiology,,642.64,,,,,2164-3024,2164-3024,2164-3032,2164-3032
Case Reports in Cardiology,,445.87,,,,,2090-6404,2090-6404,2090-6412,2090-6404
Journal of Otolaryngology - Head & Neck Surgery,1481.49,1649.49,1656.18,1661.24,,,1916-0216,1916-0216,,1916-0208
Annals of General Psychiatry,1761.795,2015.0,1837.4,1596.0,2025.82,,1744-859X,,1744-859X,1744-859X
sub\urban. zeitschrift für kritische stadtforschung,400.0,314.2857142857143,320.0,600.0,547.5714285714286,,2197-2567,,2197-2567,2197-2567
British Journal of Medicine and Medical Research,124.28,,,,,,2231-0614,,2231-0614,2231-0614
Alzheimer's Research & Therapy,1750.52,1549.802857142857,1766.273333333333,1604.4522222222222,1671.5379999999998,,1758-9193,,1758-9193,1758-9193
Journal of Innovation and Entrepreneurship,799.68,842.52,2015.0,2015.0,915.37,,2192-5372,2192-5372,,2192-5372
Inflammation and Cell Signaling,714.03,,,,,,2330-7803,,2330-7803,2330-7803
"Immunity, Inflammation and Disease",1377.8166666666666,1192.5939999999996,1344.898,1864.83,1444.775,,2050-4527,,,2050-4527
BMJ Open Respiratory Research,2329.6666666666665,2245.995,1834.6528571428573,2083.71625,1956.2416666666668,,2052-4439,,2052-4439,2052-4439
Journal of the International AIDS Society,2092.75,1809.8,2369.817777777777,2262.6630769230765,2077.035,,1758-2652,,1758-2652,1758-2652
EBioMedicine,3160.8049999999994,2938.968571428571,2900.5,3274.026666666666,3012.3015384615387,,2352-3964,2352-3964,,2352-3964
npj Primary Care Respiratory Medicine,3731.1475,1978.1975,1597.8066666666666,1540.7833333333335,,,2055-1010,,2055-1010,2055-1010
Molecular Genetics & Genomic Medicine,1506.0333333333335,981.795,1355.14,1201.1225,1392.7766666666666,,2324-9269,,,2324-9269
Clinical Cardiology,2023.2,1721.55,2015.0,2015.0,1808.8,,0160-9289,,,0160-9289
Health Expectations,2632.885,1375.9433333333334,1504.619285714286,1558.195714285714,1862.986666666667,,1369-6513,,,1369-6513
Cardiovascular Pathology,2676.03,,,,,,1054-8807,1054-8807,,1054-8807
Chinese Journal of Aeronautics,2699.93,,,,,,1000-9361,1000-9361,,1000-9361
Journal of Diabetes Investigation,2751.55,,,,,,2040-1116,,,2040-1116
Neurology Genetics,1421.67,2625.791428571429,1818.0227272727273,2249.04,1710.31,,2376-7839,,2376-7839,2376-7839
Acta Radiologica Open,1009.0,670.44,811.73,703.45,757.765,,2058-4601,2058-4601,2058-4601,2058-4601
Oncogenesis,2800.0,3796.236666666666,3142.228333333334,3040.37,3063.84,,2157-9024,,2157-9024,2157-9024
Open Journal of Acoustics,658.0,,,,,,2162-5786,2162-5786,2162-5794,2162-5786
Journal of Mathematical Inequalities,500.0,2015.0,400.0,,,,1848-9575,1846-579X,,1846-579X
Sarcoma,,715.9533333333335,2016.0,2016.0,809.35,,1357-714X,1357-714X,1369-1643,1357-714X
